Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product_Name,Region,State,City,Quantity,Discount,Unit_Price,Sales,Profit,Payment_Method,Customer_Segment,Sales_Channel,Year,Quarter,Month,Year_Month,Profit_Margin
ORD105815,2023-01-01 00:16:58,CUST11884,Arjun Bansal,Electronics,Accessories,Power Bank 20000mAh,East,Bihar,Patna,1,0.1,1680.68,1512.61,109.19,Credit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.0722
ORD130424,2023-01-01 00:23:28,CUST17134,Sneha Agarwal,Electronics,Accessories,Power Bank 20000mAh,South,Telangana,Hyderabad,4,0.2,1669.86,5343.55,109.63,UPI,Corporate,Retail Store,2023,Q1,Jan,2023-01,0.0205
ORD144482,2023-01-01 00:46:50,CUST13701,Nandini Verma,Furniture,Storage,Bookshelf,North,Uttarakhand,Dehradun,8,0.05,5468.64,41561.66,4929.42,Net Banking,Small Business,Online,2023,Q1,Jan,2023-01,0.1186
ORD142947,2023-01-01 00:52:17,CUST15691,Manish Pandey,Furniture,Storage,Filing Cabinet,East,Odisha,Bhubaneswar,2,0.0,6929.25,13858.5,2138.52,Debit Card,Corporate,Online,2023,Q1,Jan,2023-01,0.1543
ORD126842,2023-01-01 01:15:51,CUST14335,Neha Malhotra,Electronics,Mobiles,iPhone 15,South,Karnataka,Bengaluru,1,0.05,69925.84,66429.55,7449.51,UPI,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.1121
ORD122356,2023-01-01 01:32:11,CUST15049,Sneha Das,Electronics,Laptops,HP Pavilion 15,West,Goa,Panaji,2,0.0,62740.95,125481.9,15094.33,Net Banking,Corporate,Online,2023,Q1,Jan,2023-01,0.1203
ORD130055,2023-01-01 03:00:14,CUST16003,Raj Verma,Electronics,Mobiles,OnePlus Nord CE,West,Goa,Panaji,4,0.15,29902.69,101669.15,4026.15,Debit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.0396
ORD149004,2023-01-01 03:52:37,CUST17928,Rahul Kumar,Fashion,Footwear,Running Shoes,North,Punjab,Ludhiana,3,0.0,3458.72,10376.16,1656.01,Net Banking,Corporate,Retail Store,2023,Q1,Jan,2023-01,0.1596
ORD116197,2023-01-01 03:54:18,CUST10899,Rahul Mehta,Furniture,Tables,Study Table,East,Jharkhand,Ranchi,1,0.15,6397.23,5437.65,400.93,EMI,Consumer,Marketplace,2023,Q1,Jan,2023-01,0.0737
ORD126499,2023-01-01 04:49:32,CUST16374,Simran Agarwal,Furniture,Chairs,Ergonomic Office Chair,West,Gujarat,Ahmedabad,2,0.15,8897.18,15125.21,1427.76,Credit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.0944
ORD134557,2023-01-01 05:20:07,CUST13140,Vivaan Bansal,Office Supplies,Stationery,Premium Notebook,East,Bihar,Patna,1,0.15,484.83,412.11,60.53,Cash,Consumer,Online,2023,Q1,Jan,2023-01,0.1469
ORD139317,2023-01-01 05:40:27,CUST16915,Raj Choudhary,Home Appliances,Kitchen,Air Fryer,West,Goa,Panaji,4,0.2,6762.55,21640.16,951.99,Debit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.044
ORD114549,2023-01-01 06:50:30,CUST17226,Simran Sharma,Fashion,Footwear,Running Shoes,East,West Bengal,Kolkata,3,0.0,3300.5,9901.5,2354.88,Debit Card,Corporate,Online,2023,Q1,Jan,2023-01,0.2378
ORD144453,2023-01-01 07:20:52,CUST12944,Neha Mishra,Home Appliances,Kitchen,Air Fryer,West,Maharashtra,Mumbai,10,0.05,7817.35,74264.82,7816.13,Debit Card,Small Business,Online,2023,Q1,Jan,2023-01,0.1052
ORD143434,2023-01-01 08:58:37,CUST15409,Ananya Joshi,Furniture,Tables,Office Work Desk,South,Telangana,Hyderabad,1,0.0,12395.31,12395.31,2513.53,Credit Card,Consumer,Marketplace,2023,Q1,Jan,2023-01,0.2028
ORD124220,2023-01-01 09:05:14,CUST15975,Pooja Bansal,Electronics,Laptops,HP Pavilion 15,East,Bihar,Patna,1,0.05,56756.51,53918.68,6490.88,Debit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.1204
ORD105259,2023-01-01 09:54:13,CUST11506,Rohan Joshi,Fashion,Women,Women's Kurti,West,Maharashtra,Mumbai,2,0.0,1242.97,2485.94,450.48,Cash,Consumer,Marketplace,2023,Q1,Jan,2023-01,0.1812
ORD143148,2023-01-01 10:00:14,CUST14352,Priya Mehta,Home Appliances,Kitchen,Air Fryer,South,Andhra Pradesh,Vijayawada,1,0.15,7031.7,5976.94,373.65,Debit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.0625
ORD138103,2023-01-01 10:22:18,CUST15812,Riya Sharma,Electronics,Accessories,Bluetooth Speaker,South,Kerala,Kochi,1,0.2,3741.49,2993.19,50.65,UPI,Corporate,Online,2023,Q1,Jan,2023-01,0.0169
ORD135800,2023-01-01 10:27:12,CUST14895,Vivaan Sharma,Office Supplies,Stationery,Ball Pen Pack,West,Gujarat,Surat,2,0.1,189.86,341.75,60.83,UPI,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.178
ORD137049,2023-01-01 10:45:29,CUST14483,Manish Malhotra,Electronics,Accessories,Wireless Earbuds,North,Uttar Pradesh,Kanpur,4,0.3,2188.6,6128.08,-207.87,Credit Card,Consumer,Online,2023,Q1,Jan,2023-01,-0.0339
ORD133683,2023-01-01 13:33:14,CUST14149,Priya Malhotra,Electronics,Laptops,Lenovo IdeaPad Slim,West,Gujarat,Surat,3,0.05,56127.42,159963.15,13479.29,Credit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.0843
ORD103042,2023-01-01 13:33:34,CUST17122,Neha Kumar,Office Supplies,Paper,A4 Paper Ream,North,Uttar Pradesh,Kanpur,2,0.05,378.71,719.55,150.09,UPI,Consumer,Online,2023,Q1,Jan,2023-01,0.2086
ORD139509,2023-01-01 15:34:54,CUST13836,Arjun Choudhary,Electronics,Accessories,Bluetooth Speaker,South,Tamil Nadu,Chennai,5,0.0,3540.61,17703.05,1975.7,Credit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.1116
ORD104535,2023-01-01 15:46:23,CUST13644,Priya Joshi,Home Appliances,Kitchen,Air Fryer,South,Andhra Pradesh,Vijayawada,4,0.1,6765.2,24354.72,2534.15,Net Banking,Consumer,Marketplace,2023,Q1,Jan,2023-01,0.1041
ORD107684,2023-01-01 17:06:42,CUST13207,Aisha Jain,Office Supplies,Printing,Laser Printer,North,Uttarakhand,Dehradun,4,0.15,19981.95,67938.63,10866.94,Debit Card,Small Business,Marketplace,2023,Q1,Jan,2023-01,0.16
ORD101194,2023-01-01 17:07:42,CUST11188,Pooja Bansal,Furniture,Chairs,Ergonomic Office Chair,South,Tamil Nadu,Chennai,6,0.25,7840.44,35281.98,1349.09,Cash,Consumer,Online,2023,Q1,Jan,2023-01,0.0382
ORD101232,2023-01-01 18:30:56,CUST16111,Ankit Kumar,Electronics,Laptops,Dell Inspiron 15,South,Telangana,Hyderabad,1,0.15,61145.54,51973.71,2395.06,Debit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.0461
ORD137757,2023-01-01 20:05:43,CUST16767,Pooja Srivastava,Fashion,Men,Men's Casual Shirt,South,Kerala,Kochi,4,0.25,1353.6,4060.8,241.21,EMI,Corporate,Online,2023,Q1,Jan,2023-01,0.0594
ORD127040,2023-01-01 21:09:39,CUST12432,Manish Mishra,Office Supplies,Paper,A4 Paper Ream,East,Odisha,Bhubaneswar,5,0.1,410.64,1847.88,283.38,Credit Card,Corporate,Online,2023,Q1,Jan,2023-01,0.1534
ORD131149,2023-01-01 21:38:25,CUST11003,Nandini Yadav,Furniture,Tables,Study Table,North,Punjab,Ludhiana,2,0.15,6655.64,11314.59,919.09,Debit Card,Small Business,Marketplace,2023,Q1,Jan,2023-01,0.0812
ORD130030,2023-01-01 22:16:46,CUST10841,Ayush Kumar,Fashion,Women,Women's Kurti,South,Telangana,Hyderabad,6,0.1,1276.22,6891.59,1153.29,Net Banking,Consumer,Online,2023,Q1,Jan,2023-01,0.1673
ORD118422,2023-01-01 22:35:37,CUST16037,Meera Verma,Electronics,Accessories,Bluetooth Speaker,West,Goa,Panaji,3,0.2,3666.33,8799.19,147.71,Cash,Small Business,Marketplace,2023,Q1,Jan,2023-01,0.0168
ORD147230,2023-01-01 22:49:20,CUST15321,Aditya Srivastava,Electronics,Laptops,Lenovo IdeaPad Slim,South,Tamil Nadu,Chennai,3,0.1,48160.12,130032.32,8749.53,Credit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.0673
ORD130717,2023-01-01 23:35:31,CUST11677,Nandini Shah,Furniture,Chairs,Ergonomic Office Chair,Central,Madhya Pradesh,Bhopal,10,0.25,8282.93,62121.98,2357.08,Debit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.0379
ORD138063,2023-01-01 23:40:51,CUST14106,Ishita Srivastava,Fashion,Footwear,Running Shoes,Central,Chhattisgarh,Raipur,4,0.15,3027.76,10294.38,1313.27,UPI,Consumer,Online,2023,Q1,Jan,2023-01,0.1276
ORD119727,2023-01-02 00:06:34,CUST14077,Arjun Das,Home Appliances,Kitchen,Mixer Grinder,North,Uttar Pradesh,Kanpur,7,0.0,4139.24,28974.68,4048.07,UPI,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.1397
ORD125043,2023-01-02 00:26:28,CUST16984,Kavya Singh,Electronics,Laptops,HP Pavilion 15,North,Uttar Pradesh,Kanpur,4,0.1,65542.57,235953.25,15036.67,Credit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.0637
ORD136646,2023-01-02 00:33:34,CUST12384,Nandini Malhotra,Fashion,Footwear,Running Shoes,South,Karnataka,Bengaluru,3,0.1,3444.93,9301.31,1054.48,Net Banking,Consumer,Online,2023,Q1,Jan,2023-01,0.1134
ORD109978,2023-01-02 01:09:01,CUST12849,Simran Verma,Electronics,Laptops,Lenovo IdeaPad Slim,North,Haryana,Gurugram,2,0.0,53521.63,107043.26,16445.8,Debit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.1536
ORD113868,2023-01-02 01:11:11,CUST11263,Vivaan Bansal,Electronics,Laptops,Lenovo IdeaPad Slim,North,Haryana,Gurugram,3,0.1,56580.32,152766.86,12714.43,Cash,Corporate,Online,2023,Q1,Jan,2023-01,0.0832
ORD106689,2023-01-02 03:17:48,CUST14749,Rohan Singh,Office Supplies,Stationery,Ball Pen Pack,East,West Bengal,Kolkata,7,0.15,188.81,1123.42,121.34,EMI,Corporate,Retail Store,2023,Q1,Jan,2023-01,0.108
ORD113890,2023-01-02 03:33:49,CUST17191,Nikhil Patel,Electronics,Accessories,Bluetooth Speaker,West,Goa,Panaji,5,0.0,3710.34,18551.7,1841.76,UPI,Corporate,Online,2023,Q1,Jan,2023-01,0.0993
ORD100293,2023-01-02 04:25:23,CUST11242,Vivek Verma,Electronics,Laptops,HP Pavilion 15,East,West Bengal,Kolkata,3,0.1,56101.51,151474.08,12284.43,UPI,Small Business,Online,2023,Q1,Jan,2023-01,0.0811
ORD100779,2023-01-02 04:31:37,CUST16591,Ishita Bansal,Home Appliances,Cooling,Air Cooler,North,Uttarakhand,Dehradun,1,0.15,12389.08,10530.72,800.87,EMI,Consumer,Online,2023,Q1,Jan,2023-01,0.0761
ORD108163,2023-01-02 06:18:23,CUST17057,Priya Kumar,Furniture,Tables,Study Table,Central,Madhya Pradesh,Indore,10,0.15,6343.8,53922.3,5903.93,EMI,Consumer,Marketplace,2023,Q1,Jan,2023-01,0.1095
ORD116760,2023-01-02 06:41:34,CUST16454,Simran Bansal,Fashion,Women,Women's Kurti,South,Kerala,Kochi,3,0.05,1297.91,3699.04,562.91,EMI,Corporate,Online,2023,Q1,Jan,2023-01,0.1522
ORD106283,2023-01-02 06:50:45,CUST11022,Sahil Jain,Electronics,Accessories,Bluetooth Speaker,West,Gujarat,Ahmedabad,2,0.05,3766.72,7156.77,851.91,UPI,Consumer,Online,2023,Q1,Jan,2023-01,0.119
ORD133922,2023-01-02 06:58:12,CUST15798,Simran Gupta,Electronics,Mobiles,Samsung Galaxy A55,East,Bihar,Patna,2,0.25,34286.71,51430.06,-454.62,UPI,Small Business,Marketplace,2023,Q1,Jan,2023-01,-0.0088
ORD124674,2023-01-02 07:11:02,CUST13316,Vivek Bansal,Electronics,Laptops,Lenovo IdeaPad Slim,South,Karnataka,Bengaluru,5,0.1,56012.71,252057.2,15585.06,Cash,Corporate,Marketplace,2023,Q1,Jan,2023-01,0.0618
ORD122248,2023-01-02 08:11:43,CUST15296,Manish Sharma,Furniture,Tables,Office Work Desk,South,Telangana,Hyderabad,6,0.25,11401.11,51305.0,2173.93,EMI,Corporate,Retail Store,2023,Q1,Jan,2023-01,0.0424
ORD131355,2023-01-02 11:07:48,CUST17227,Karan Yadav,Office Supplies,Paper,A4 Paper Ream,North,Haryana,Gurugram,3,0.05,439.37,1252.2,277.11,Debit Card,Corporate,Online,2023,Q1,Jan,2023-01,0.2213
ORD101252,2023-01-02 12:26:19,CUST14186,Kavya Verma,Electronics,Accessories,Bluetooth Speaker,Central,Chhattisgarh,Raipur,5,0.1,3430.83,15438.74,978.33,Debit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.0634
ORD110884,2023-01-02 13:03:25,CUST12382,Nandini Kumar,Electronics,Mobiles,Samsung Galaxy A55,West,Maharashtra,Pune,2,0.05,29232.62,55541.98,6308.03,Cash,Consumer,Online,2023,Q1,Jan,2023-01,0.1136
ORD128720,2023-01-02 13:14:54,CUST14458,Arjun Gupta,Electronics,Mobiles,OnePlus Nord CE,West,Gujarat,Surat,1,0.1,27137.29,24423.56,1422.77,Debit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.0583
ORD140242,2023-01-02 13:42:12,CUST11354,Mohit Bansal,Fashion,Men,Men's Casual Shirt,North,Uttar Pradesh,Kanpur,8,0.05,1291.66,9816.62,2007.19,UPI,Corporate,Marketplace,2023,Q1,Jan,2023-01,0.2045
ORD114832,2023-01-02 14:15:53,CUST16539,Simran Verma,Home Appliances,Kitchen,Mixer Grinder,Central,Madhya Pradesh,Indore,1,0.1,4218.95,3797.06,418.65,Cash,Consumer,Marketplace,2023,Q1,Jan,2023-01,0.1103
ORD146084,2023-01-02 14:25:24,CUST15144,Vivek Agarwal,Electronics,Mobiles,iPhone 15,West,Maharashtra,Pune,2,0.0,61675.25,123350.5,17772.46,Credit Card,Consumer,Retail Store,2023,Q1,Jan,2023-01,0.1441
ORD101189,2023-01-02 17:22:41,CUST13657,Riya Mehta,Office Supplies,Paper,A4 Paper Ream,West,Maharashtra,Mumbai,6,0.1,400.37,2162.0,390.01,Credit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.1804
ORD132887,2023-01-02 18:12:53,CUST12939,Pooja Gupta,Fashion,Footwear,Running Shoes,Central,Madhya Pradesh,Indore,3,0.2,3404.46,8170.7,761.89,Credit Card,Consumer,Online,2023,Q1,Jan,2023-01,0.0932
